account,volume,trades,liquidations,pnl,pnl_pct
0x8c8ddf9a1390886525866f651ad0ef1947d10897,468265.066005293011925396,18.0,1.0,4088.745437066948352103,5.283422684381763089536836819
0xe75a587a24251d722e95e2bc5f2c84dfda5da405,10932.626608929371360309,3.0,0.0,830.574482783786036867,1.657833298969632808117764471
0x59e43525e8e1e71559b133395960c99bfa406b9e,684843.977387779396110938,14.0,0.0,23209.847183721203214924,1.521479053490140428025782032
0x0ca0dae538bb788bbc735c6f581e322d1e52181c,3915.728752414508497091,6.0,0.0,721.135713593527917019,1.442271427187055834038
0xd68fd7b6c28718f8a42faa7cc342a789e3748331,73211.922335124378799380,22.0,0.0,641.617159110108284053,1.283234318220216568106
0x7a7c5a94495c9c9c60d88a85f7e43b657c3b6b5c,24327.167768596058267610,4.0,0.0,3916.000243623628376967,1.260206088984778935737899873
0x856b63349fb6c818ea7cd7305483ae0ef6956f6c,21993.995176066313756941,19.0,2.0,746.438750882853098405,1.224979542697018205524286255
0xb5ab9065460cbd0bf98fb6d2da11b289e312eddb,50843.977205267239996012,89.0,0.0,1166.798673358184932280,1.164227693760479473011485350
0xe6635047ee4d4551a6df66f54923cf7550a9dae2,51948.302694065941201000,1.0,0.0,10741.753822706162590262,1.134069357288917224750127470
0x4564d6d107a19d3ab3d734a7bae61eb63dc3d30f,52895.80468949038505967,8.0,1.0,565.315427751030078917,1.119294658490448216048950819
0x7b7d6ca0bf9aeb1744e98701ea777744eae280af,10868.800000000000000000,1.0,0.0,7274.966860071391659884,1.096346123030440742872484614
0xce3ba4a98c5a41c195565d84068f228a958c4552,3119150.914676704668928529,290.0,0.0,17442.930573681737742770,1.061595898483524232269410927
0x9a1af2b6978c2e819deaeadf8f7f5f2527272b51,137316.367931747474757756,7.0,0.0,2234.357406127597691073,0.9254958642072289237104478013
0xa3e4d91e25041fd0c78de76f134ad3eec001dd2e,10615.596,2.0,0.0,845.37579339112905383,0.84537579339112905383
0x7fe187c20a8b31b116651f52eeb8d848c456227d,4408.596039681547817193,2.0,1.0,405.443283292352726927,0.810886566584705453854
0x7b523a0c714988e5c4acaa71198ef0b52e0fb6b0,15690.265640747429903706,3.0,0.0,654.281900439491235687,0.7851014600919081753628021526
0x234e8c96facc6f6f84f8b14185ffaa11d77fefbf,2260742.476252715000000,59.0,0.0,23148.822104602341871053,0.6673365206515871672130051782
0x509aaf71f59b61f6e2184f8c2db7da0bacf6d53a,47094.796407717781717263,8.0,0.0,325.558334899419175071,0.651116669798838350142
0x4254c604a2a6d58f8c94ded9b3aaff3a2541f388,13778.879472665016413285,4.0,0.0,860.466528384789537178,0.6286382469882456544097496477
0x835fd01e3f5289708961146e903cd857ad0032f8,47331.334490046450925734,12.0,0.0,495.694687676692185336,0.5787974010626786030873274699
0x9ef44c6f60eae666407f5638c24572ab22da2862,5323.997289378359381212,6.0,0.0,3985.608538637926929691,0.5766313492913873119567146153
0x4634739c8909fb668007c10b4046ecf82a2c99fe,801412.890302604544578614,160.0,0.0,2509.027695448651747852,0.5581367678060039220874380153
0x850596444bb1921ef60e647f0951f766c6359c83,4233.440292184953423949,3.0,1.0,563.674292235794139589,0.5579202524553913989837928262
0x93edc38d3b99ccea0e8f5f70995048ccf49eb4b1,16744.012624935196938179,8.0,1.0,479.672044047373313819,0.5482747547258963625305811561
0x0ab3cd94e756b856366194e440f60ea97eca2c32,72110.452990698448264136,1.0,0.0,2502.173943398938765796,0.5467327239503244227935614117
0xb6bbe5a785f6cfed3f65f2ba91ad20586b00f7e6,25900.208631315210195912,26.0,0.0,267.612055890077683148,0.535224111780155366296
0xfb07d2bdef2deb1ebec001644b4732ab77281c7a,10778.538526596990575365,6.0,0.0,266.707273503639674586,0.533414547007279349172
0x1d4acbc9f70cadd4e6eb215731b8a20bb848d042,1726789.70134681,9.0,1.0,40136.711693211801124021,0.5175999255803623099643440637
0x8e140b709ad3a3213a9061926d46a67b844e5936,36829.446304683606310769,10.0,0.0,907.470194309032545663,0.5062312046471388159008123164
0x9abcc7e55780ed85b9e6b7f6b995e5ab155f297b,65603.892673452078220381,13.0,0.0,1502.997265665414543315,0.5025764474636624726801704328
0x8ab83d869f2bc250b781d26f6584fd5c562fdd9d,1249.999999999999935358,1.0,0.0,247.909133644226571340,0.49581826728845314268
0xaadb7cc8587ca5ae3e5c98b9e78f6024953c0bd0,31924.212544878176096905,2.0,0.0,327.259498038049773433,0.4650402311363388364892223577
0x29596cd63e4159f58f967408fb420a0181c53b14,16875.70116052622280105,2.0,0.0,338.192650936922209080,0.4600998796318484233711176298
0x54ba36887df439a10e3fa6e6f47e5418b2475ac8,7197.649682398093972525,5.0,0.0,223.748273437768789918,0.447496546875537579836
0xd62b6f9130831ad0742783695bad534c6c64d013,8974.500815276519469715,11.0,0.0,215.913301064688882586,0.431826602129377765172
0x602db8e43b3f81a08d2c767b30d07e792b2714b5,7824.211840789682386439,10.0,1.0,210.586001823089721953,0.421172003646179443906
0x90b50ee9aeb83001fbeaf61541fc666341f36400,10162.426028682628367446,2.0,0.0,1050.566621291192953936,0.4118600905313602851319730588
0x21c8dc59f2e9a11c4c1a0c310641968132c6b1be,303339.643554047775199258,2.0,0.0,29679.478493344465021901,0.4023496788290210587851752429
0x53607dcf5e15657d81825c14b6a90f717418dcda,9432.375776646261227756,4.0,0.0,399.405097784821577820,0.4004715341926903550633497396
0x004537fcd9095489ebe38180a382341b962b501d,15844.841084582134262333,10.0,1.0,196.273466155840687309,0.392546932311681374618
